date,confidence,happiness,tiredness,excitation,frustration,hopelessness
2020-04-01,4,5,1,4,1,0
2020-04-02,4,5,2,5,1,0
2020-04-03,3,4,2,3,2,0
2020-04-04,3,3,2,2,2,0
2020-04-05,3,3,3,3,3,0
2020-04-06,2,2,4,2,4,0
2020-04-07,3,3,2,3,1,0
2020-04-08,4,4,2,4,1,0
2020-04-09,3,4,2,4,1,0
2020-04-10,4,4,3,4,1,0
2020-04-11,4,4,2,4,1,0
2020-04-12,5,5,3,5,1,0
2020-04-13,4,3,2,3,1,0
2020-04-14,4,4,3,3,1,0
2020-04-15,4,4,2,5,1,0
2020-04-16,4,5,2,5,1,0
2020-04-17,4,4,3,4,1,0
2020-04-18,5,5,3,5,1,0
2020-04-19,4,3,3,3,0,0
2020-04-20,5,5,4,5,2,0
2020-04-21,4,4,2,4,0,0
2020-04-22,3,3,4,2,3,0
2020-04-23,4,3,3,3,2,0
2020-04-24,4,3,2,3,0,0
2020-04-25,3,3,2,3,1,0
2020-04-26,3,3,3,3,2,0
2020-04-27,3,3,3,3,2,0
2020-04-28,3,3,3,3,2,0
2020-04-29,4,3,3,3,2,0
2020-05-01,3,3,3,3,2,0
2020-05-02,4,4,2,4,2,0
2020-05-03,4,4,2,4,2,0
2020-05-04,3,3,3,3,2,0
2020-05-05,3,3,2,3,2,0
2020-05-06,3,3,3,3,2,0
2020-05-07,3,3,2,3,2,0
2020-05-08,3,3,3,3,2,0
2020-05-09,3,3,3,2,2,0
2020-05-10,3,3,2,3,2,0
2020-05-11,4,3,2,3,2,0
2020-05-12,3,3,2,3,2,0
2020-05-13,3,3,2,3,0,0
2020-05-14,3,3,2,3,1,0
2020-05-15,3,3,3,2,3,0
2020-05-16,4,4,2,4,2,0
